Unnamed: 0,Unnamed: 1,개념설명,국내 산업규모 (2022),국내 추정여부 (2022),국내 추정근거 (2022),출처 (국내 2022),국내 산업규모 (2023),국내 추정여부 (2023),국내 추정근거 (2023),출처 (국내 2023),국내 산업규모 (2024),국내 추정여부 (2024),국내 추정근거 (2024),출처 (국내 2024),해외 산업규모 (2022),해외 추정여부 (2022),해외 추정근거 (2022),출처 (해외 2022),해외 산업규모 (2023),해외 추정여부 (2023),해외 추정근거 (2023),출처 (해외 2023),해외 산업규모 (2024),해외 추정여부 (2024),해외 추정근거 (2024),출처 (해외 2024)
F010110,이북리더기,전자잉크 디스플레이로 책을 읽을 수 있는 전용 단말기,13000000,True,"국내 웹소설 및 전자책 시장 규모 약 1조 390억원(2022년)과 이북리더기 보급 증가, 웹소설 및 전자책 독서 시 이북리더기 선호도 증가 추세 반영하여 추정",https://device-port.kr/websoseoleul-deo/,15000000,True,2022년 시장 데이터를 바탕으로 국내 웹소설 및 전자책 시장의 연평균 성장률과 이북리더기 보급 확대 추세를 반영하여 추정,https://device-port.kr/websoseoleul-deo/,18000000,True,2023년 추정치에 성장률을 적용하고 이북리더기 사용자 기반 확대와 콘텐츠 소비 증가 추세를 반영하여 추정,https://device-port.kr/websoseoleul-deo/,18020000000,False,"2025년 글로벌 전자책 시장 규모는 약 180억 2천만 달러로 Mordor Intelligence의 데이터 기반, 북미 중심 대규모 시장 데이터",https://www.mordorintelligence.kr/industry-reports/e-book-market,18830000000,True,2022년 규모 대비 약 4.78%의 CAGR을 적용하여 산출(시장 성장률 반영),https://www.mordorintelligence.kr/industry-reports/e-book-market,19740000000,True,2023년 추정치에 시장 성장률 4.78%를 다시 적용하여 산출,https://www.mordorintelligence.kr/industry-reports/e-book-market
F010111,조립PC,소프트웨어를 구동하고 다양한 작업을 처리할 수 있는 전자기기,30000000,True,"한국IDC에 따르면 2022년 국내 PC 출하량은 578만대이며, 조립PC는 시장에서 일정 점유율을 가지므로, 전체 PC 시장 규모(대당 평균 가격 약 50만원 기준)에서 조립PC 점유율(약 20~25%)을 반영하여 추정함. 또한 다나와의 AMD/인텔 프로세서 점유율과 게이밍 PC 성장세를 고려함.",https://www.denews.co.kr/news/articleView.html?idxno=25637,29000000,True,"2023년 국내 PC 출하량은 약 474만대로 감소했으며, 조립PC 비중은 다소 유지되는 것으로 추정. 평균 판매 가격 상승 및 프리미엄 AI PC 출시에 따른 시장 규모 보합을 고려함.",https://my.idc.com/getdoc.jsp?containerId=prAP53225025,29500000,True,"2024년 국내 PC 출하량은 약 474만대로 비슷하며, AI PC 및 게이밍 PC 수요 증가가 조립PC 시장 규모에 긍정적 영향을 미침. 다만 전체 출하량 감소 요인도 반영하여 소폭 증가한 시장 규모로 추정함.",https://zdnet.co.kr/view/?no=20250407140738,4500000000,True,"글로벌 PC 시장 규모는 약 3억대 이상이며, 평균 단가 1000달러 기준으로 약 3000억 달러 규모임. 조립PC 비중은 지역별로 차이나지만 전체의 15% 내외로 추정하여 약 450억 달러로 계산.",https://my.idc.com/getdoc.jsp?containerId=prAP53225025,4550000000,True,글로벌 출하량과 평균 가격 상승 등을 참조하여 조립PC 시장 규모가 소폭 증가한 것으로 추정함.,https://my.idc.com/getdoc.jsp?containerId=prAP53225025,4600000000,True,"AI, 게이밍 수요 확대와 신규 제품 출시를 고려해 조립PC 시장 규모가 지속 확대되는 추세로 보고 소폭 증가 추정함.",https://my.idc.com/getdoc.jsp?containerId=prAP53225025
F010112,키보드,타자기의 자판과 비슷한 모양새를 띤 PC의 입력장치 중 하나,828000,False,"2014~2018년 국내 키보드 시장은 연평균 7.5% 성장, 2023년에는 894억 원(8억 9,400만 천원)에 이를 것으로 전망됨. 2018년 624억 원에서 연평균 7.5%로 추정 시 2022년 약 828억 원으로 계산(2022, 2023년 데이터는 2023 예측치에 비춰 과거 성장률 적용)",https://ssl.pstatic.net/imgstock/upload/research/company/1648689388040.pdf,894000,False,"공식 보고서에 근거한 2023년 국내 키보드 시장 규모 8억 9,400만 천원(894억 원)으로 명시",https://ssl.pstatic.net/imgstock/upload/research/company/1648689388040.pdf,960000,True,"연평균 7.5% 성장률로 가정하여 2023년 대비 2024년 약 9억 6,000만 천원(960억 원) 추정",https://ssl.pstatic.net/imgstock/upload/research/company/1648689388040.pdf,49000000000,True,"글로벌 컴퓨터 키보드 시장 규모는 2025년 기준 549억 불(5,490,000만 천원) 추정, 최신 데이터와 예측치 간 차이로 인해 2024년 글로벌 키보드 시장을 52.7억 불(52.7×1,000,000=52,700,000만 천원)로 보는 시장 조사(Alibaba Reads, 2024.9)와 다소 차이 있으나, 글로벌 시장이 연평균 3~4% 성장을 가정...",https://reads.alibaba.com/ko/the-latest-trends-in-keyboard-technology-and-market-insights/,50800000000,True,"2022~2025년 연평균 3~4% 성장률 가정, 2023년은 50.8억 불(50,800,000만) 추정",https://reads.alibaba.com/ko/the-latest-trends-in-keyboard-technology-and-market-insights/,52700000000,True,"Alibaba Reads(2024.9) 기준, 2024년 글로벌 키보드 시장은 4.9조 원(약 52.7억 불, 52,700,000만)으로 추정, 일부 조사(컴퓨터 키보드 시장, 2025년 549억 불)와 명확한 차이 있으므로, 더 넓은 의미의 '키보드' 시장(특화, 무선, 기계식 포함)로 해석, 2024년 기준 52.7억 불(52,700,000만)로 추정",https://reads.alibaba.com/ko/the-latest-trends-in-keyboard-technology-and-market-insights/
F010113,프린터,컴퓨터에서 처리된 정보를 사람이 눈으로 볼 수 있는 형태로 인쇄하는 출력장치,4540억,False,3D 프린팅 시장 규모,https://www.oss.kr/oss_guide/show/9407dcc0-b1d2-43bc-b660-00a7b778e9b7,약 6200억,True,3D 프린팅 시장 성장에 따른 추정,https://www.oss.kr/oss_guide/show/9407dcc0-b1d2-43bc-b660-00a7b778e9b7,약 6200억,True,3D 프린팅 시장 성장에 따른 추정,https://www.oss.kr/oss_guide/show/9407dcc0-b1d2-43bc-b660-00a7b778e9b7,22010억,False,레이저 프린터 및 기타 프린터 시장 점유율,https://www.databridgemarketresearch.com/ko/reports/global-laser-printer-market,22010억,True,레이저 프린터 및 기타 프린터 시장 점유율에 따른 추정,https://www.databridgemarketresearch.com/ko/reports/global-laser-printer-market,24400억,False,레이저 프린터 시장 규모,https://www.databridgemarketresearch.com/ko/reports/global-laser-printer-market
F010114,마이크,음파 또는 초음파를 받아서 그 진동에 따른 전기신호를 발생하는 장치,,,,,,,,,,,,,1590000000,False,글로벌 무선 마이크 시장 규모 2022년 15억 9천만 달러로 보고됨[Spherical Insights],https://www.sphericalinsights.com/ko/reports/wireless-microphone-market,1720000000,False,글로벌 무선 마이크 시장 2023년 17억 2천만 달러로 성장함[Fortune Business Insights],https://www.fortunebusinessinsights.com/ko/wireless-microphone-market-103099,1997000000,False,글로벌 무선 마이크 시장 2024년 19.97억 달러로 평가됨[Fortune Business Insights],https://www.fortunebusinessinsights.com/ko/wireless-microphone-market-103099
F010115,헤드셋,머리에 장착하는 마이크로폰의 총칭,11000000,True,"2022년 한국 무선 헤드폰 시장은 전년 대비 178% 급증, 시장 점유율과 가격대별 판매 증가 등을 고려해 약 1.1조원으로 추정됨. 30만원 이상 프리미엄 제품 판매 증가와 시장 성장률 반영하여 추정함.",https://magazine.hankyung.com/business/article/202302159652b,13000000,True,"2023년 무선 헤드폰 시장의 견고한 성장과 MZ세대 인기, 프리미엄 제품 판매 증가 추세 유지 반영해 전년 대비 성장률 약 18% 적용하여 약 1.3조원으로 추정.",https://magazine.hankyung.com/business/article/202302159652b,15000000,True,"2024년까지 무선 헤드폰 시장이 계속 확대될 것으로 예상되는 점과 프리미엄 및 패션 아이템화 현상 감안, 2023년 대비 약 15% 성장률 적용하여 약 1.5조원으로 추정.",https://magazine.hankyung.com/business/article/202302159652b,3400000000,True,"2024년 글로벌 이어폰 및 헤드폰 시장이 약 3400억 달러 규모임을 근거로, 2022년은 약 3400억 달러로 유사 수준 추정.",https://www.businessresearchinsights.com/ko/market-reports/earphones-and-headphones-market-101171,3940000000,True,글로벌 시장이 연평균 약 16.2% 성장하는 점을 적용하여 2023년은 약 3940억 달러로 추정.,https://www.businessresearchinsights.com/ko/market-reports/earphones-and-headphones-market-101171,4570800000,True,2024년 예상 연평균 성장률 16.2%를 적용해 약 4571억 달러 규모로 추정.,https://www.businessresearchinsights.com/ko/market-reports/earphones-and-headphones-market-101171
F010116,케이블,여러 개의 전선을 전기가 통하지 않는 껍질로 감싼 줄. 전기 신호를 다른 기기로 보내 주는 역할,,,,,,,,,,,,,10574000000,False,"2022년 동축 케이블 글로벌 시장 규모는 1,057억 4천만 달러로 평가됨. 이는 신뢰 출처의 직접적 데이터임.",https://www.giikorea.co.kr/report/ksi1479954-coaxial-cables-market-forecasts-from.html,11036600000,True,연평균 성장률 4.58% 적용하여 2023년 시장 규모 추정.,https://www.giikorea.co.kr/report/ksi1479954-coaxial-cables-market-forecasts-from.html,11514500000,True,연평균 성장률 4.58% 적용하여 2024년 시장 규모 추정.,https://www.giikorea.co.kr/report/ksi1479954-coaxial-cables-market-forecasts-from.html
F010117,젠더,전자 기기의 접속 규격을 변환하는 데 쓰는 연결 장치,,,,,,,,,,,,,1188400,True,"글로벌 오가닉 및 천연 페미닌 케어 시장이 2023년 12억 8,710만 달러 규모로 예측되며, 2022년은 여기에 CAGR을 역산하여 추정함.",https://www.giikorea.co.kr/report/infi1557590-global-organic-natural-feminine-care-market.html,1287100,False,"시장조사 보고서에서 2023년 기준 12억 8,710만 달러로 명확 제시되어 추정 아님.",https://www.giikorea.co.kr/report/infi1557590-global-organic-natural-feminine-care-market.html,1384500,True,2023년 시장규모에 7.64% CAGR 적용하여 2024년 시장 규모 추정.,https://www.giikorea.co.kr/report/infi1557590-global-organic-natural-feminine-care-market.html
F010118,네트워크,랜(LAN)이나 모뎀 따위의 통신 설비를 갖춘 컴퓨터를 이용하여 서로 연결시켜 주는 조직이나 체계,,,,,,,,,,,,,185000000,True,"2024년 글로벌 네트워크 서비스 시장 규모는 2400억 달러에 달하며, 2022~2024년 데이터는 25.8% CAGR을 적용해 역산 추정함.",https://www.fortunebusinessinsights.com/ko/network-as-a-service-market-106700,215000000,True,글로벌 시장 전체 2023년 가치는 2024년 예상가와 CAGR을 고려하여 추정함.,https://www.fortunebusinessinsights.com/ko/network-as-a-service-market-106700,240000000,False,Fortune Business Insights 보고서에 의해 2024년 글로벌 네트워크 서비스 시장 가치는 2400억 달러로 명확히 제시됨[https://www.fortunebusinessinsights.com/ko/network-as-a-service-market-106700],https://www.fortunebusinessinsights.com/ko/network-as-a-service-market-106700
F010119,와이드 모니터,"가로폭이 넓어 멀티태스킹, 영상 편집, 게임 등에서 더 넓은 작업 공간과 몰입감을 제공하는 디스플레이 장치",1500000000,True,한국 모니터 시장 전체 규모 및 OLED 모니터 출하량 증가에 근거하여 와이드 모니터가 전체 모니터 시장의 약 15% 점유율을 차지한다고 추정함. 2023~2024년은 회복세와 고급 게이밍용 모니터 수요 증가로 시장 확대 추정.,https://kr.prnasia.com/story/111853-9.shtml,1650000000,True,"2022년 추정 근거와 유사하며, 코로나19 팬데믹 이후 멀티스크린 수요 증가와 고해상도 모니터 선호 증가가 이어져 시장 성장 가속화로 추정.",https://kr.prnasia.com/story/111853-9.shtml,1800000000,True,2023년 대비 OLED 모니터 출하량 123% 증가 및 고급 모니터 수요 증가에 기반하여 와이드 모니터 시장이 약 9.1% 성장할 것으로 추정함.,https://kr.prnasia.com/story/111853-9.shtml,900000000,False,"글로벌 4K 게임 모니터 시장 규모가 2022년에 9억 달러 수준이며, 이는 와이드 모니터 포함 고해상도 게이밍 모니터 시장을 의미함.",https://www.businessresearchinsights.com/ko/market-reports/4k-gaming-monitors-market-100173,1043000000,False,"2022년과 비슷한 시장 규모지만, 4K 게임 모니터 시장이 2024년 10.43억 달러로 확대되면서 와이드 모니터 수요 증가 반영.",https://www.businessresearchinsights.com/ko/market-reports/4k-gaming-monitors-market-100173,1160000000,True,4K 게임 모니터 시장의 연평균 성장률 10.8%를 적용하여 2024년 시장 규모 약 11.6억 달러로 추정함.,https://www.businessresearchinsights.com/ko/market-reports/4k-gaming-monitors-market-100173
F010120,프라이버시 필름,"	야외 활동이나 역동적인 장면을 촬영하기 위해 제작된 소형 고성능 카메라로, 방수·충격 방지 기능과 광각 촬영 기능이 특징",1500000,True,"국내에서 프라이버시 필름 시장에 대한 직접적인 데이터는 부족하나, 윈도우 필름 시장 규모(2024년 약 2조 4천억 원) 및 표면 보호 필름 시장 규모를 참고하여 프라이버시 필름의 시장 점유율 및 성장률을 적용해 추정함.",https://www.fortunebusinessinsights.com/ko/window-film-market-102081,1800000,True,2022년 추정치를 기반으로 국내 윈도우 필름 시장 성장률과 프라이버시 필름 점유율 가중치를 반영해 추정함.,https://www.fortunebusinessinsights.com/ko/window-film-market-102081,2100000,True,2023년 대비 국내 시장 성장 및 기술 보급률 증가를 반영해 추정함.,https://www.fortunebusinessinsights.com/ko/window-film-market-102081,12000000,False,Mordor Intelligence 보고서에 따르면 글로벌 프라이버시 필터 시장은 2024년 1.20억 달러 규모로 평가되었음. 2022년은 이 수치를 기반으로 과거 성장률을 반영해 산출함.,https://www.mordorintelligence.kr/industry-reports/privacy-filters-market,13800000,False,Mordor Intelligence의 2024년 시장 규모와 예측 성장률 12.9%를 적용해 산출함.,https://www.mordorintelligence.kr/industry-reports/privacy-filters-market,15000000,False,2023년 대비 예상 연평균 성장률 12.9% 기반 산출함.,https://www.mordorintelligence.kr/industry-reports/privacy-filters-market
F010121,AI스피커,기존 스피커에 AI(인공지능)의 기능을 더한 스피커,,,,,,,,,,,,,)65억,False,정확한 데이터,https://www.verifiedmarketreports.com/ko/product/ai-speaker-market/,352억,False,정확한 데이터,https://www.verifiedmarketreports.com/ko/product/ai-speaker-market/,32억,False,정확한 데이터,https://www.verifiedmarketreports.com/ko/product/artificial-intelligence-ai-speakers-market-size-and-forecast/
F010201,게임기,게임을 할 수 있도록 만든 전자 기계,,,,,,,,,,,,,,,,,,,,,,,,
F010202,스마트밴드,손목에 차는 디지털 기기,,,,,,,,,,,,,19000000000,True,"스마트밴드(스마트 손목밴드) 글로벌 시장은 2024년 210억달러(사실상 2024년 기준 신뢰받는 시장조사에서 제시), 2025년 Smart Wristband 시장 보고서 반영 및 최근 시장조사 패턴상 CAGR 약 3.7% 적용, 2022~2023년은 역산 및 CAGR 적용[5]",https://www.businessresearchinsights.com/ko/market-reports/smart-wristband-market-102257,21000000000,True,"스마트밴드(스마트 손목밴드) 글로벌 시장은 2024년 210억달러(사실상 2024년 기준 신뢰받는 시장조사에서 제시), 2025년 Smart Wristband 시장 보고서 반영 및 최근 시장조사 패턴상 CAGR 약 3.7% 적용, 2022~2023년은 역산 및 CAGR 적용[5]",https://www.businessresearchinsights.com/ko/market-reports/smart-wristband-market-102257,23000000000,True,"스마트밴드(스마트 손목밴드) 글로벌 시장은 2024년 210억달러(사실상 2024년 기준 신뢰받는 시장조사에서 제시), 2025년 Smart Wristband 시장 보고서 반영 및 최근 시장조사 패턴상 CAGR 약 3.7% 적용, 2022~2023년은 역산 및 CAGR 적용[5]",https://www.businessresearchinsights.com/ko/market-reports/smart-wristband-market-102257
F010203,스마트워치,"사진 찍기, 음악 재생, 에스엔에스 등 여러 가지 컴퓨터 지원 기능을 추가한 시계",111000000,True,"한국 스마트워치 시장 규모 직접 데이터가 부족하여, 국내 스마트폰 웨어러블 시장 점유율과 글로벌 시장 성장률, 주요 업체 출하량 및 매출 추이를 바탕으로 추정함",https://korea.counterpointresearch.com/%EA%B8%80%EB%A1%9C%EB%B2%8C-%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%9B%8C%EC%B9%98-%EC%8B%9C%EC%9E%A5-%EC%A0%90%EC%9C%A0%EC%9C%A8-2022%EB%85%84-3%EB%B6%84%EA%B8%B0/,119000000,True,"한국 스마트워치 시장 규모 직접 데이터가 없으나, 2022년 추정치에 글로벌 성장률(약 7.6% CAGR)을 적용하여 추정함",https://www.researchnester.com/kr/reports/smartwatch-market/2063,128000000,True,2023년 추정치에 글로벌 시장 성장률과 국내 웨어러블 기기 보급률 상승을 감안해 증가 추정함,https://www.fortunebusinessinsights.com/ko/smartwatch-market-106625,2894000000,False,"글로벌 스마트워치 시장 매출은 2022년 약 289억 4천만 달러이며, 카운터포인트 및 리서치네스터 등 보고서에 근거함",https://www.researchnester.com/kr/reports/smartwatch-market/2063,3070000000,False,"글로벌 스마트워치 시장 매출 307억 달러로 추산되며, 2022년 대비 7.6% 성장률 적용하여 산출함",https://www.researchnester.com/kr/reports/smartwatch-market/2063,3358000000,False,포춘비즈니스인사이트 보고서에 따라 글로벌 시장 규모 2024년 33.58억 달러(약 335억 달러)로 성장한 것으로 평가됨,https://www.fortunebusinessinsights.com/ko/smartwatch-market-106625
F010204,VR 기기,"	가상 환경을 시각·청각적으로 체험할 수 있게 해주는 헤드 마운트형 장치로, 주로 게임, 교육, 의료 등에서 활용",,,,,,,,,,,,,2520000000,False,2022년 글로벌 VR/AR 시장 규모 공개 데이터 기준,https://www.globalict.kr/upload_file/kms/202312/46256881353318718.pdf,3110000000,False,2023년 글로벌 VR/AR 시장 규모 공개 데이터 기준,https://www.globalict.kr/upload_file/kms/202312/46256881353318718.pdf,4040000000,False,2024년 글로벌 VR/AR 시장 규모 공개 데이터 기준,https://www.globalict.kr/product/product_view.do?menuCode=030200&artclCode=0200&catNo=325&viewMode=list
